DEPTH,BIT,BVOL,CAL,CNCF,CVOL,DT,GR,PE,RD,RMSL,RS,SPBD,SPD,TTEN,ZCOR,ZDEN
78.867,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,59.701,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
78.943,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,59.177,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
79.019,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,59.869,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
79.096,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,62.194,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
79.172,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,64.193,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
79.248,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,65.491,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
79.324,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,65.931,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
79.4,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,65.726,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
79.477,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,66.097,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
79.553,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,65.997,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
79.629,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,65.071,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
79.705,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,63.627,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
79.781,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,63.53,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
79.858,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,64.406,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
79.934,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,65.419,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
80.01,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,67.998,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
80.086,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,71.701,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
80.162,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,73.973,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
80.239,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,71.086,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
80.315,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,64.389,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
80.391,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,59.851,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
80.467,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,62.182,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
80.543,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,68.677,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
80.62,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,71.824,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
